text,label,pred,prob
"они что , реально представляют очереди на согласование ? бля , с какой планеты наши чиновники ?",0,1,0.6737889
"в маках есть кнопки . только агрессивному быдлу обычно плевать на них , пока его мордой в пол не уложат .",1,0,0.16185291
"автор , не в обиду , я прожила 4 года в волгограде . у вас концентрация быдла огромная , а чиновники одни из самых охуевших в рф .",1,0,0.19814168
сменить работу не вариант ? сутками работать оно совсем не здорово .,0,1,0.56702083
"пидорашка это не фамилия , а состояние души , распространено только в россиюшке",1,0,0.44485587
хуежка . сколько можно nba потнашим правилам оценивать,0,1,0.6761649
"блять , маргиналошизики , чего вас так тянет сюда ? пиздуйте в свой тред и там создавайте борду с ue b er marginal",1,0,0.4696147
какие ваши доказательства ! ?,0,1,0.76202
какая - то странная нативная реклама mybox,0,1,0.54460746
"удивительно: этого дегенерата всё ещё смотрят . как вам там под парашей , опущенцы ? нормас ?",1,0,0.4701862
"и какой придурок засунул туда цыплят ? во - первых , они недостаточно выросли и это просто нецелесообразно , слишком мало мяса . во - вторых , в этом случае в готовом продукте будет кровь , что для мяса является браком . в третьих полученный фарш будет слишком низкого качества из - за крови , костей , шкуры и прочего . если нужно реализовать их , проще подать из тушки как цыплят - корнишонов . вывод один: оператор ебаный садист , которому просто по фану измельчить заживо кучку цыплят",1,0,0.42166933
"а мамка её двощи читает . мамка джамили , когда уже вы вашу дочь воспитаете ? и да , она уже так остопиздела на канале , потому что ваша дочь уже там из всех щелей лезет , лучше работу ей найдите с которой она не вылетит , и пусть снимается в умеренном количестве . но лично у меня к вашей доце после того что она выкинула и как она себя ведёт - море негатива и бомбежа .",1,0,0.16562605
"шизики , вот вам ещё для подогрева пердаков .",1,0,0.450856
"говори адрес , петушара , будешь у меня на камеру говорить , что кузьма - не свинья и на коленях прощения просить",1,0,0.39354628
"так ! 12 числа , сего месяца , приобрёл монументальную монографию биология добра и зла , 999 сносок , что для биологии - моё почтение ! буду оприходовать . жадные дети могут подумать , что это реклама . да , это реклама .",0,1,0.51109856
женщина красивая . актриса никакая . смотрел помню трансформеров - плевался .,0,1,0.5147649
из матрицы нельзя выйти,0,1,0.5694337
уточнил просто . людей меньше 25 лвл считаю пробником человека . но самоутверждением здесь не пахнет .,1,0,0.32991844
"если она программист , то ебать её нужно за такое наименование переменной , ну или за использование оператора присваивания для сравнения",0,1,0.8162548
"вроде как самого да винчи в ересях не обвиняли , только его кота . upd . : о , только щас обратил внимание на ник автора .",1,0,0.44772854
", я тупой и не понял шутки или это спам ?",1,0,0.20081511
"да наказали , только информация по приговору закрыта , дело в стадии обжалования находится",0,1,0.55316883
"а что еще отвечать на подобные долбоебские вопросы ? ну то есть , павук нормально ответил , но стасян зачем - то начел спрашивать то же самое , только другими словами",1,0,0.16046517
"конкретнее давайте , континент какой ? ?",0,1,0.7205409
"подход нужно к людям искать . я всегда стараюсь подружиться с людьми , в итоге есть те , которые действительно пытаются запомнить что - то , прочитать , научиться , с ними как раз легко схожусь , а есть те , кто пытается на шею сесть и делают всё так , что б ты выполнил всю работу за них , с ними не дружу , и разговор всегда примерно такой: работает компьютер , считает excel - моя работа выполнена , дальше сами .",0,1,0.6022131
"ой блять , мамкины борцуны с троллями подъехали . ирину через резину .",1,0,0.49347517
"то есть получается , что россия - сырьевой придаток запада ?",1,0,0.13973624
химически термостойкими материалами а почему не физически ?,0,1,0.5689047
"шапочку из фольги надень я без неё в тред и не хожу . постер выглядел искренним ) таким же , как цыганка - нищенка с золотыми зубами или ещё искренней ? нынешний вайп - ещё тупее прошлого .",1,0,0.26661563
webm 1 . пнх 2 . че ещё пизданёшь ? 3 . хочу понюхать твои волосики 4 . это просто вау,1,0,0.411404
а карты памяти хоть поддерживаются телефоном ?,0,1,0.5133998
"без косметики лучше . разрисованные по современному стограммному стандарту еблища ужасны - не представляю , откуда взялась такая мода .",0,1,0.7215394
по идее это позор но поцреоты будут надрывно гордиться .,1,0,0.08999594
смотря какой объем . очень многое зависит от квот .,0,1,0.5753251
"к нам в иред у тебя нет треда своего , сучка",1,0,0.17474373
некоторое время назад работал на заводе светотехники . полностью подтверждаю .,0,1,0.58771926
"я сразу поменял от спорта , удобнее стало",0,1,0.60882705
"есть россия , та которая в сердце , в душе , остаток чистого . а есть рашка , раисся , пидорашка . состояние того , что сделали со страной чиновники",1,0,0.30038443
"слишком много хочешь . руснявая пидораха не стоит и пальца казаха . вы и должны быть рабами , вам не привыкать .",1,0,0.49761543
как раз потому и удалили потому что это полное позорище .,1,0,0.23412791
"как бы сказать - то . на нынешнем дваче адекватней ребята . при своей свободе . или у них за пятнадцать лет такая токсичная атмосфера настоялась , что со стороны дикой кажется . а те , кто прошли этот отбор , кайфуют мб .",1,0,0.43609896
стоит от тебя ждать подробного сравнения ? ),1,0,0.30868942
пёстрый скакунчик ! :3,0,1,0.79783636
"просвещайся , крестьянин",1,0,0.2869484
"прошу прощенья , вы видели фото из коридора ? о какой чрезмерной нагрузки вы говорите ? на весь дом ? там проводка алюминиевая у который давным давно вышел срок годности .",0,1,0.51127607
"задание идёт с самого dmg mori , на конкурсе world skills такое оформление . не у нас составляли",0,1,0.5338839
"зачем эти продажные , жирнолысые хуемрази , когда есть такая фапабельная милфочка ? будет лучший президент за всю историю .",1,0,0.4840543
фотошоп - коричневого пятнышка на трусах нет,1,0,0.39899668
