text,label,pred,prob
"они что , реально представляют очереди на согласование ? бля , с какой планеты наши чиновники ?",0,1,0.74759287
"в маках есть кнопки . только агрессивному быдлу обычно плевать на них , пока его мордой в пол не уложат .",1,0,0.15092576
"автор , не в обиду , я прожила 4 года в волгограде . у вас концентрация быдла огромная , а чиновники одни из самых охуевших в рф .",1,0,0.35948917
сменить работу не вариант ? сутками работать оно совсем не здорово .,0,1,0.68206495
хуежка . сколько можно nba потнашим правилам оценивать,0,1,0.53832483
как золушка прям . надо было ей гречи насыпать . занял бы надолго .,1,0,0.37765068
какие ваши доказательства ! ?,0,1,0.5540012
"удивительно: этого дегенерата всё ещё смотрят . как вам там под парашей , опущенцы ? нормас ?",1,0,0.349111
ну это долгая история . я бы это назвал к чему привела эволюция подписи . ),0,1,0.5354991
"и какой придурок засунул туда цыплят ? во - первых , они недостаточно выросли и это просто нецелесообразно , слишком мало мяса . во - вторых , в этом случае в готовом продукте будет кровь , что для мяса является браком . в третьих полученный фарш будет слишком низкого качества из - за крови , костей , шкуры и прочего . если нужно реализовать их , проще подать из тушки как цыплят - корнишонов . вывод один: оператор ебаный садист , которому просто по фану измельчить заживо кучку цыплят",1,0,0.3731556
"а мамка её двощи читает . мамка джамили , когда уже вы вашу дочь воспитаете ? и да , она уже так остопиздела на канале , потому что ваша дочь уже там из всех щелей лезет , лучше работу ей найдите с которой она не вылетит , и пусть снимается в умеренном количестве . но лично у меня к вашей доце после того что она выкинула и как она себя ведёт - море негатива и бомбежа .",1,0,0.11027128
"шизики , вот вам ещё для подогрева пердаков .",1,0,0.39189863
"говори адрес , петушара , будешь у меня на камеру говорить , что кузьма - не свинья и на коленях прощения просить",1,0,0.3105144
"так ! 12 числа , сего месяца , приобрёл монументальную монографию биология добра и зла , 999 сносок , что для биологии - моё почтение ! буду оприходовать . жадные дети могут подумать , что это реклама . да , это реклама .",0,1,0.62216425
уточнил просто . людей меньше 25 лвл считаю пробником человека . но самоутверждением здесь не пахнет .,1,0,0.39611393
"пьяные офицеры вымогают на алкашку и наркоту по почкам бутылками изнасиловать и утопить анонимно одному мне кажется , что киберсвиносотня перетолстила ?",1,0,0.47815517
"вроде как самого да винчи в ересях не обвиняли , только его кота . upd . : о , только щас обратил внимание на ник автора .",1,0,0.46465355
", я тупой и не понял шутки или это спам ?",1,0,0.13373807
"да наказали , только информация по приговору закрыта , дело в стадии обжалования находится",0,1,0.7157616
"а что еще отвечать на подобные долбоебские вопросы ? ну то есть , павук нормально ответил , но стасян зачем - то начел спрашивать то же самое , только другими словами",1,0,0.13358952
"конкретнее давайте , континент какой ? ?",0,1,0.5268608
"то есть получается , что россия - сырьевой придаток запада ?",1,0,0.036793392
"если она головой шмякнулась , то неудивительно",1,0,0.48507404
"шапочку из фольги надень я без неё в тред и не хожу . постер выглядел искренним ) таким же , как цыганка - нищенка с золотыми зубами или ещё искренней ? нынешний вайп - ещё тупее прошлого .",1,0,0.2257359
надо было для собаки еще и отобрать мороженое у старшей девочки . она и та к жирная .,1,0,0.4552549
"без косметики лучше . разрисованные по современному стограммному стандарту еблища ужасны - не представляю , откуда взялась такая мода .",0,1,0.50722253
по идее это позор но поцреоты будут надрывно гордиться .,1,0,0.049744308
"к нам в иред у тебя нет треда своего , сучка",1,0,0.13565485
"я сразу поменял от спорта , удобнее стало",0,1,0.5224348
как раз потому и удалили потому что это полное позорище .,1,0,0.13647225
"как бы сказать - то . на нынешнем дваче адекватней ребята . при своей свободе . или у них за пятнадцать лет такая токсичная атмосфера настоялась , что со стороны дикой кажется . а те , кто прошли этот отбор , кайфуют мб .",1,0,0.28224617
стоит от тебя ждать подробного сравнения ? ),1,0,0.28937137
"ах , ты ссука . . как передает общую атмосферу . очень тонкий подтекст . и очень толсто передал все , что нужно .",1,0,0.4181683
"у них от веганства , совсем мозги высохли",1,0,0.37098074
пёстрый скакунчик ! :3,0,1,0.74497634
"просвещайся , крестьянин",1,0,0.08175276
фотошоп - коричневого пятнышка на трусах нет,1,0,0.21694614
а не хочет ли он налог заплатить за использование природных ресурсов ?,0,1,0.69348633
"ну окей , парламент пусть будет , но как пыня будет влиять на ту кучу долбоебов в парламенте если он будет всего лишь одним из членов оного ?",1,0,0.2932453
"хуясе , адекват , даром что заднеприводный .",1,0,0.34770188
"это норма для мужиков . большие соски - признак смещения гормонального баланса . потенциальное гино уже . и по совершенно случайному совпадению владельцы больших сосков так же являются гордыми обладателями сисек . в общем , гоните большесосок , насмехайтесь над ними .",0,1,0.50560963
вообще - то маргинал русский национальный татарин .,1,0,0.27792764
крымотред нарушает правила раздела т . к в нем нет обсуждения политики . свободное общение это в b . это тоже самое если я на доске о политике создам тред о том как плохо без тяночки . так что уебывайте в б или нвр со своим чатиком престарелых гомосеков !,1,0,0.3170732
"жертвовать здоровьем ради извращенца , ну нафиг . .",1,0,0.27952725
"колян никак не созреет , а созреет , так мамка заругает",1,0,0.13332956
у бабке на столе винтовочные патроны . трудно ей будет с пистолетом - то .,1,0,0.44961342
"не уходи , или сдохнешь",1,0,0.47244975
обратит вниманиа на шкалу - all ages,0,1,0.52532864
"поверь , бизона стоит бояться . эта зверушка тебя запросто на отбивную пустит , не говоря уж об этих шавках , которых и человек голыми руками завалить может троих .",1,0,0.32683837
"внимание ! не следуйте совету выше чистить экраны спиртом или спиртосодержащим средством ! купите специальный спрей для экранов или салфетки , коих множество !",0,1,0.66179967
это про 10000 долларов от еспч ?,0,1,0.88127047
"а меня одного бесит , что эта гифка грузилась дофига еще и с подвисаниями ? надо что - то делать с гифками на сайте , уже которая бесит , а написать лень . но тут просто реально долго было",1,0,0.20430346
"ну и дебил , теперь на него дело заведут и еще деньгами ущерб возмещать будет",1,0,0.37146556
зафаршировать хуя . . . овощами перед этим надобно .,0,1,0.5593401
"мать серова была еврейкой по фамилии бергман и у отца в крови были евреи , его дед был каким - то еврейским путешественником или исследователем , не помню .",1,0,0.2786663
"вы растекаетесь по всей борде лишим вас загончика , чтобы это на самом деле стало правдой а ты хитер .",0,1,0.9005509
dlc что делает эта длси ?,1,0,0.44621244
"беда в том , что полиции почему - то похуй на это быдлана он сам по себе довольно таки темный в плане дел с законом . не знаю , правда правое дело делает или там огромная крыша , но полиция так и не будет его трогать .",1,0,0.054287627
а шо за петух новый модер мамбет какойто,1,0,0.42750955
"снег сойдет полностью хозяин найдется , он под деревом",0,1,0.8724303
"мог бы , я бы тебе сто минусов вьебал . . . кончита",1,0,0.3477448
"вы можете посмотреть , как меня активно минусуют за коменты , где я говорю , как обычный человек может себя отстоять . к сожалению , этот сайт и в тюрьмах бакланье читает , делайте выводы - каждый минус - это зассавший пацан ровный , который бздит под ответку попасть . на ганзе почитайте , там много интересного",1,0,0.249352
главное сохраняет морду лица,1,0,0.26303977
"тут - то ебжен и пригодится . не думаю , даже с его жирной ряхой 16 оппозицинеров ему не заменить , пятерых максимум",1,0,0.3024233
"моя мать пенсионерка уже 10 лет . так что мимо , петушок сисянский .",1,0,0.24207261
"скальпы местного населения за деньги не принимали , не резали руки детям за отказ их родителей работать и невыполнение плана , какой потрясающе удобный подход . а еще не набивали соломой трупы врагов и не насиловали предметы домашнего обихода туземцев . что не добавили и эти два пункта ? я привел тебе факты многочисленных убийств аборигенов ради захвата их земель или подчинения их народов , а ты ловко выкручиваешься тем , что вырезали - то не всех поголовно , а всего лишь непокорные аулы , концлагери строили не для конкретных народов , а всех подряд , да и резервации не строили - ведь просто выкинуть из поезда в сухую степь средней азии полмиллиона насильно депортированных из родных краев вайнахов и сколько - то там других народов было гораздо проще , чем что - то для них еще и строить . войны были есть и будут это была экспансия , а не война . разницу чуешь , или мне снова разжевать ? так что нехер пытаться обелить то , что было . не сразу заметил , что ты еще и автор этого поста , где жалуешься на мертвое образование и при этом сам с околонулевой осведомленностью в истории пытаешься с кем - то еще спорить .",1,0,0.3972159
фуры с тварями за рулем никак не передохнут ! ! ! всякий неуч и дебил идет работать шофером ( гордо ) ! !,1,0,0.44944987
"они смешные и милые унтерки , а стас как гоблин из падика себя ведёт и тем отталкивает . нахуй он вообще жизни начал всех учить , все же нормально было с техноблогом ? алсо кто бля вообще ( кроме пятиклассников ) смотрит убер - ежей ради интеллектуального контента , это ж стримы с рофлами под ужин или уборку , каким сверхразумом надо быть , чтобы это ещё и разъебывать .",1,0,0.40876395
"как же я ору со свободного рынка и добровольного обмена . светов , будучи типичным беззаботным мажором , видимо не слышал поговорку кто тонет нож подай , и за нож ухватится . педофил - миша никогда в своей жизни не был в такой ситуации , не чувствовал голод . ему оскорбительна сама мысль о несвободном обмене . а что самое уморительное , так это то , что анкапы как не могли привести пример добровольного обмена , так и не могут .",1,0,0.15709214
керум да рожаш . но меня не расстреляли ),1,0,0.039708987
"u zagori na izvoru rijeke ikole stala bra a da obrane na e domove , stoji hrvat do hrvata , mi smo bra a svi ne ete u avoglave dok smo ivi mi",0,1,0.5090947
какой гейт отъехал ? текст автора внимательно читаем и не тупим,0,1,0.7657374
родину ? боты ничего кроме подмены понятий не могу . речь идет о неадеквате который запрещает всё и вся . позже в китае даже запретили фильм кристофер робин .,1,0,0.44489276
"я типа защитник зоо . ты прав , собаки гавкают , пытаются укусить когда спиной . меня кусала так стайная собака . но я сам решил сократить дорогу через брошенную стоянку железнодорожников . с тех пор я не лезу в такие места и не поворачиваюсь к таким собака спиной . если надо пройти такое место я тщательно взвешиваю свои силы , если вижу собаки не крупные полно камней и мне желательно срезать - пройду . если собаки крупные , много их и подручного хлама нет - я не пойду . простые правила и меня с тех пор больше не кусали собаки . обычно собаки просто охраняют территорию . причем та же гавкаюшая стая обычно агрессивна на своей территории и труслива на чужой . бывают , когда собаки с голодухи пытаются охотиться . обычно это в зимнее время , когда жрать нечего . с понимаем отношусь к ним , но естественно охоты на людей быть не должно . значит этих собак нужно изымать из свободного обитания . как это должно работать ? 1 . заметили новую стаю собак у себя - звонок в полицию , в службу отлова . собак централизованно , законно ловят и увозят в питомники . если появилась собака , которая проявляет агрессию , хоть немного погавкала - звонок . но я никак не могу одобрить действия ублюдков , которые давят животных и хвастаются этим , убивают всех собак подряд , разбрасывают отраву .",1,0,0.27529082
щищенцы на аналогичном видосе хотели заставить такого барыгу сожрать его товар . по - моему это лучшее решение .,1,0,0.30769226
евгений николаевич . бросьте эту старую проститутку и записывайте нормальное виднюео уже,1,0,0.47959957
